period	period_id	division	division_id	source_player_id	source_player_name	course	score_text	score_numeric	played_state	placement	hn1	points	raw_json_sha256
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Venice - Hard	0	0	True	1	0	200	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Venice - Hard	9	9	True	2	0	190	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Venice - Hard	15	15	True	3	0	180	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Venice - Hard			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Venice - Hard			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Viva Las Elvis	-9	-9	True	1	2	202	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Viva Las Elvis	-7	-7	True	2	1	191	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Viva Las Elvis	-4	-4	True	3	1	181	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8848	mamabear2002	Viva Las Elvis	-3	-3	True	4	1	171	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8908	Mark1703	Viva Las Elvis			False				20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	7589	SMILEROBIN	Viva Las Elvis - Hard	1	1	True	1	1	201	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8888	SHANNON_OLIVEOWL	Viva Las Elvis - Hard	3	3	True	2	3	193	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
2025 December	301	Amateur 2	27	8428	Bearded_Driver	Viva Las Elvis - Hard	8	8	True	3	2	182	20FEEAE63198EA67006DD0ECA3604B3E55D980B699BD90BEC577F1BAAC41683A
