period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	classification	raw_json
2026 April	381	COMPLETED	Pro 3	25	12	8	Labyrinth:12;Labyrinth - Hard:12;El Dorado:12;El Dorado Hard:12;Wallace & Gromit:12;Wallace & Gromit - Hard:12;8-Bit Lair:12;8-Bit Lair - Hard:12	96	84	12	COMPLETE_DATA_RECOVERED	raw/period-381-division-25.json
2026 April	381	COMPLETED	Semi Pro 1	113	10	8	Labyrinth:10;Labyrinth - Hard:10;El Dorado:10;El Dorado Hard:10;Wallace & Gromit:10;Wallace & Gromit - Hard:10;8-Bit Lair:10;8-Bit Lair - Hard:10	80	74	6	COMPLETE_DATA_RECOVERED	raw/period-381-division-113.json
2026 April	381	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-381-division-81.json
2026 April	381	COMPLETED	Welcome	62	12	8	Labyrinth:12;Labyrinth - Hard:12;El Dorado:12;El Dorado Hard:12;Wallace & Gromit:12;Wallace & Gromit - Hard:12;8-Bit Lair:12;8-Bit Lair - Hard:12	96	27	69	COMPLETE_DATA_RECOVERED	raw/period-381-division-62.json
2026 April	381	COMPLETED	Semi Pro 2	114	8	8	Labyrinth:8;Labyrinth - Hard:8;El Dorado:8;El Dorado Hard:8;Wallace & Gromit:8;Wallace & Gromit - Hard:8;8-Bit Lair:8;8-Bit Lair - Hard:8	64	54	10	COMPLETE_DATA_RECOVERED	raw/period-381-division-114.json
2026 April	381	COMPLETED	Semi Pro 3	115	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-381-division-115.json
2026 March	361	COMPLETED	Master	21	10	8	Arizona Modern:10;Arizona Modern Hard:10;Original Gothic:10;Original Gothic Hard:10;Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10	80	77	3	COMPLETE_DATA_RECOVERED	raw/period-361-division-21.json
2026 March	361	COMPLETED	Elite	22	10	8	Arizona Modern:10;Arizona Modern Hard:10;Original Gothic:10;Original Gothic Hard:10;Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-361-division-22.json
2026 March	361	COMPLETED	Pro 1	23	10	8	Arizona Modern:10;Arizona Modern Hard:10;Original Gothic:10;Original Gothic Hard:10;Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-361-division-23.json
2026 March	361	COMPLETED	Pro 2	24	9	8	Arizona Modern:9;Arizona Modern Hard:9;Original Gothic:9;Original Gothic Hard:9;Sweetopia:9;Sweetopia - Hard:9;Laser Lair:9;Laser Lair - Hard:9	72	71	1	COMPLETE_DATA_RECOVERED	raw/period-361-division-24.json
2026 March	361	COMPLETED	Pro 3	25	13	8	Arizona Modern:13;Arizona Modern Hard:13;Original Gothic:13;Original Gothic Hard:13;Sweetopia:13;Sweetopia - Hard:13;Laser Lair:13;Laser Lair - Hard:13	104	92	12	COMPLETE_DATA_RECOVERED	raw/period-361-division-25.json
2026 March	361	COMPLETED	Semi Pro 1	113	10	8	Arizona Modern:10;Arizona Modern Hard:10;Original Gothic:10;Original Gothic Hard:10;Sweetopia:10;Sweetopia - Hard:10;Laser Lair:10;Laser Lair - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-361-division-113.json
2026 March	361	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-361-division-81.json
2026 March	361	COMPLETED	Welcome	62	2	8	Arizona Modern:2;Arizona Modern Hard:2;Original Gothic:2;Original Gothic Hard:2;Sweetopia:2;Sweetopia - Hard:2;Laser Lair:2;Laser Lair - Hard:2	16	10	6	COMPLETE_DATA_RECOVERED	raw/period-361-division-62.json
2026 March	361	COMPLETED	Semi Pro 2	114	7	8	Arizona Modern:7;Arizona Modern Hard:7;Original Gothic:7;Original Gothic Hard:7;Sweetopia:7;Sweetopia - Hard:7;Laser Lair:7;Laser Lair - Hard:7	56	56	0	COMPLETE_DATA_RECOVERED	raw/period-361-division-114.json
2026 March	361	COMPLETED	Semi Pro 3	115	5	8	Arizona Modern:5;Arizona Modern Hard:5;Original Gothic:5;Original Gothic Hard:5;Sweetopia:5;Sweetopia - Hard:5;Laser Lair:5;Laser Lair - Hard:5	40	21	19	COMPLETE_DATA_RECOVERED	raw/period-361-division-115.json
2026 February	341	COMPLETED	Master	21	10	8	Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10;Tiki à Coco:10;Tiki à Coco - Hard:10	80	80	0	COMPLETE_DATA_RECOVERED	raw/period-341-division-21.json
2026 February	341	COMPLETED	Elite	22	9	8	Widow’s Walkabout:9;Widow’s Walkabout - Hard:9;Meow Wolf:9;Meow Wolf - Hard:9;Crystal Lair:9;Crystal Lair - Hard:9;Tiki à Coco:9;Tiki à Coco - Hard:9	72	70	2	COMPLETE_DATA_RECOVERED	raw/period-341-division-22.json
2026 February	341	COMPLETED	Pro 1	23	10	8	Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10;Tiki à Coco:10;Tiki à Coco - Hard:10	80	59	21	COMPLETE_DATA_RECOVERED	raw/period-341-division-23.json
2026 February	341	COMPLETED	Pro 2	24	10	8	Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10;Tiki à Coco:10;Tiki à Coco - Hard:10	80	64	16	COMPLETE_DATA_RECOVERED	raw/period-341-division-24.json
2026 February	341	COMPLETED	Pro 3	25	14	8	Widow’s Walkabout:14;Widow’s Walkabout - Hard:14;Meow Wolf:14;Meow Wolf - Hard:14;Crystal Lair:14;Crystal Lair - Hard:14;Tiki à Coco:14;Tiki à Coco - Hard:14	112	86	26	COMPLETE_DATA_RECOVERED	raw/period-341-division-25.json
2026 February	341	COMPLETED	Semi Pro 1	113	10	8	Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10;Tiki à Coco:10;Tiki à Coco - Hard:10	80	69	11	COMPLETE_DATA_RECOVERED	raw/period-341-division-113.json
2026 February	341	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-341-division-81.json
2026 February	341	COMPLETED	Welcome	62	8	8	Widow’s Walkabout:8;Widow’s Walkabout - Hard:8;Meow Wolf:8;Meow Wolf - Hard:8;Crystal Lair:8;Crystal Lair - Hard:8;Tiki à Coco:8;Tiki à Coco - Hard:8	64	3	61	COMPLETE_DATA_RECOVERED	raw/period-341-division-62.json
2026 February	341	COMPLETED	Semi Pro 2	114	10	8	Widow’s Walkabout:10;Widow’s Walkabout - Hard:10;Meow Wolf:10;Meow Wolf - Hard:10;Crystal Lair:10;Crystal Lair - Hard:10;Tiki à Coco:10;Tiki à Coco - Hard:10	80	70	10	COMPLETE_DATA_RECOVERED	raw/period-341-division-114.json
2026 February	341	COMPLETED	Semi Pro 3	115	5	8	Widow’s Walkabout:5;Widow’s Walkabout - Hard:5;Meow Wolf:5;Meow Wolf - Hard:5;Crystal Lair:5;Crystal Lair - Hard:5;Tiki à Coco:5;Tiki à Coco - Hard:5	40	25	15	COMPLETE_DATA_RECOVERED	raw/period-341-division-115.json
2026 January	321	COMPLETED	Master	21	10	8	Tethys Station:10;Tethys Station - Hard:10;Around The World in 80 Days:10;Around The World - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10;Alice's Adventures in Wonderland:10;Alice's Adventures in Wonderland - Hard:10	80	79	1	COMPLETE_DATA_RECOVERED	raw/period-321-division-21.json
2026 January	321	COMPLETED	Elite	22	10	8	Tethys Station:10;Tethys Station - Hard:10;Around The World in 80 Days:10;Around The World - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10;Alice's Adventures in Wonderland:10;Alice's Adventures in Wonderland - Hard:10	80	73	7	COMPLETE_DATA_RECOVERED	raw/period-321-division-22.json
2026 January	321	COMPLETED	Pro 1	23	10	8	Tethys Station:10;Tethys Station - Hard:10;Around The World in 80 Days:10;Around The World - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10;Alice's Adventures in Wonderland:10;Alice's Adventures in Wonderland - Hard:10	80	77	3	COMPLETE_DATA_RECOVERED	raw/period-321-division-23.json
2026 January	321	COMPLETED	Pro 2	24	10	8	Tethys Station:10;Tethys Station - Hard:10;Around The World in 80 Days:10;Around The World - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10;Alice's Adventures in Wonderland:10;Alice's Adventures in Wonderland - Hard:10	80	71	9	COMPLETE_DATA_RECOVERED	raw/period-321-division-24.json
2026 January	321	COMPLETED	Pro 3	25	12	8	Tethys Station:12;Tethys Station - Hard:12;Around The World in 80 Days:12;Around The World - Hard:12;Mount Olympus:12;Mount Olympus - Hard:12;Alice's Adventures in Wonderland:12;Alice's Adventures in Wonderland - Hard:12	96	91	5	COMPLETE_DATA_RECOVERED	raw/period-321-division-25.json
2026 January	321	COMPLETED	Semi Pro 1	113	10	8	Tethys Station:10;Tethys Station - Hard:10;Around The World in 80 Days:10;Around The World - Hard:10;Mount Olympus:10;Mount Olympus - Hard:10;Alice's Adventures in Wonderland:10;Alice's Adventures in Wonderland - Hard:10	80	73	7	COMPLETE_DATA_RECOVERED	raw/period-321-division-113.json
2026 January	321	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-321-division-81.json
2026 January	321	COMPLETED	Welcome	62	16	8	Tethys Station:16;Tethys Station - Hard:16;Around The World in 80 Days:16;Around The World - Hard:16;Mount Olympus:16;Mount Olympus - Hard:16;Alice's Adventures in Wonderland:16;Alice's Adventures in Wonderland - Hard:16	128	7	121	COMPLETE_DATA_RECOVERED	raw/period-321-division-62.json
2026 January	321	COMPLETED	Semi Pro 2	114	7	8	Tethys Station:7;Tethys Station - Hard:7;Around The World in 80 Days:7;Around The World - Hard:7;Mount Olympus:7;Mount Olympus - Hard:7;Alice's Adventures in Wonderland:7;Alice's Adventures in Wonderland - Hard:7	56	51	5	COMPLETE_DATA_RECOVERED	raw/period-321-division-114.json
2026 January	321	COMPLETED	Semi Pro 3	115	9	8	Tethys Station:9;Tethys Station - Hard:9;Around The World in 80 Days:9;Around The World - Hard:9;Mount Olympus:9;Mount Olympus - Hard:9;Alice's Adventures in Wonderland:9;Alice's Adventures in Wonderland - Hard:9	72	47	25	COMPLETE_DATA_RECOVERED	raw/period-321-division-115.json
2025 December	301	COMPLETED	Master	21	10	8	Myst:10;Myst Hard:10;Shangri-La:10;Shangri-La - Hard:10;Venice:10;Venice - Hard:10;Viva Las Elvis:10;Viva Las Elvis - Hard:10	80	76	4	COMPLETE_DATA_RECOVERED	raw/period-301-division-21.json
2025 December	301	COMPLETED	Elite	22	10	8	Myst:10;Myst Hard:10;Shangri-La:10;Shangri-La - Hard:10;Venice:10;Venice - Hard:10;Viva Las Elvis:10;Viva Las Elvis - Hard:10	80	70	10	COMPLETE_DATA_RECOVERED	raw/period-301-division-22.json
2025 December	301	COMPLETED	Pro 1	23	10	8	Myst:10;Myst Hard:10;Shangri-La:10;Shangri-La - Hard:10;Venice:10;Venice - Hard:10;Viva Las Elvis:10;Viva Las Elvis - Hard:10	80	78	2	COMPLETE_DATA_RECOVERED	raw/period-301-division-23.json
2025 December	301	COMPLETED	Pro 2	24	9	8	Myst:9;Myst Hard:9;Shangri-La:9;Shangri-La - Hard:9;Venice:9;Venice - Hard:9;Viva Las Elvis:9;Viva Las Elvis - Hard:9	72	63	9	COMPLETE_DATA_RECOVERED	raw/period-301-division-24.json
2025 December	301	COMPLETED	Pro 3	25	12	8	Myst:12;Myst Hard:12;Shangri-La:12;Shangri-La - Hard:12;Venice:12;Venice - Hard:12;Viva Las Elvis:12;Viva Las Elvis - Hard:12	96	83	13	COMPLETE_DATA_RECOVERED	raw/period-301-division-25.json
2025 December	301	COMPLETED	Semi Pro 1	113	8	8	Myst:8;Myst Hard:8;Shangri-La:8;Shangri-La - Hard:8;Venice:8;Venice - Hard:8;Viva Las Elvis:8;Viva Las Elvis - Hard:8	64	47	17	COMPLETE_DATA_RECOVERED	raw/period-301-division-113.json
2025 December	301	COMPLETED	Beginner	81	0	0		0	0	0	UNKNOWN_NO_ROWS	raw/period-301-division-81.json
2025 December	301	COMPLETED	Welcome	62	10	8	Myst:10;Myst Hard:10;Shangri-La:10;Shangri-La - Hard:10;Venice:10;Venice - Hard:10;Viva Las Elvis:10;Viva Las Elvis - Hard:10	80	0	80	COMPLETE_DATA_RECOVERED	raw/period-301-division-62.json
