period	period_id	status	division	division_id	leader_rows	course_tables	player_counts_per_course	observations	scored	unplayed	dom_sha256	structured_json_sha256	raw_html	raw_text	raw_json	exact_player_names
2026 June	421	COMPLETED	Elite	22	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	77	3	C45AAD7F077AADE9450EAABEAE89855218C118697F2179059319A09E140C5AA6	E8892B970393E792F0E57D90B85FAFC59BCE87CF8EA91FB0BF331AD95390AC13	raw/period-421-division-22.html	raw/period-421-division-22.txt	raw/period-421-division-22.json	["mini_G","PETERK9FLORIDA","PaulV-PPP 🇨🇦","ZoeDarlin","Chelle💯","bigja33","SerenityMoon","deebee","TrickyDicky","gomarino13"]
2026 June	421	COMPLETED	Pro 1	23	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	72	8	7D11F28C2A30C81AA753267E214FB319B16F25E24D8E535BA4E9977B5D365B5D	994239A1F4E3D7DA853912AA0C8F726AB05A5548783AA721E3184EA6FE2F8188	raw/period-421-division-23.html	raw/period-421-division-23.txt	raw/period-421-division-23.json	["roknhorsebrat","The Real JB","plucky✌","SlugJug33","Slappy","awesome_kris","leanin2it","FORE_FUN","Mully","Alyssa38"]
2026 June	421	COMPLETED	Pro 2	24	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	40	16	56A9282F9D580195478226F9D19E8ADE90507F5ADAC26E7B101BBE07B5EEC5ED	56B33A1FF516FDCDCFC9B5F060EDAB8F35FD3D18A4DDE3CC87FE3A6C3B39B4E2	raw/period-421-division-24.html	raw/period-421-division-24.txt	raw/period-421-division-24.json	["Raccoons Whisker","Chipnputt","Kd","DMD-Enditnow","Nic79","stewiestewie","Shooter_McGavin"]
2026 June	421	COMPLETED	Pro 3	25	7	8	Seagull Stacks:7;Seagull Stacks - Hard:7;Bogey's Bonanza:7;Bogey's Bonanza Hard:7;Journey to the Center of the Earth:7;Center of the Earth - Hard:7;Alfheim:7;Alfheim Hard:7	56	26	30	86A57E6D9C1923A124131AA6302479917D52B8DB5C8857ECB894C2E9D9EA4B18	E8CFFC270FB2C307C83EF70C81D67579964F33CDE436198D5DF50CABE1BDD82D	raw/period-421-division-25.html	raw/period-421-division-25.txt	raw/period-421-division-25.json	["D3bb13","musical_atv 🎻","BadWolff🐺","breezy","NuttyGrandpa","pluff","lynniebodd"]
2026 June	421	COMPLETED	Semi Pro 1	113	10	8	Seagull Stacks:10;Seagull Stacks - Hard:10;Bogey's Bonanza:10;Bogey's Bonanza Hard:10;Journey to the Center of the Earth:10;Center of the Earth - Hard:10;Alfheim:10;Alfheim Hard:10	80	67	13	2A995E6ED03F47294494E54E3942DC041B7FAC228A2FB18DE7573E5F8EFE730F	675FD3F9D7FC6E67B49E7EF39DC766C17EE0003CB92692FF8E0D5FAA6A1B6A84	raw/period-421-division-113.html	raw/period-421-division-113.txt	raw/period-421-division-113.json	["Sj_76","Jennem","GREATSEER5024","Audrey","SMILEROBIN","Ultrafox_Lynne","KillERBee","WendyW(Wyndemere2020)","Bearded_Driver","IMJOMAMA"]
2026 June	421	COMPLETED	Beginner	81	0	0		0	0	0	C91101125C440C78EB2E65A0AC2626795049659EE3A669A4B1EE091A1A9EBC5B	EDA550B2AE10B8AA075077CEE370668E28DBBC38647EB5E466ED508269B1BAD4	raw/period-421-division-81.html	raw/period-421-division-81.txt	raw/period-421-division-81.json	
2026 June	421	COMPLETED	Welcome	62	25	8	Seagull Stacks:25;Seagull Stacks - Hard:25;Bogey's Bonanza:25;Bogey's Bonanza Hard:25;Journey to the Center of the Earth:25;Center of the Earth - Hard:25;Alfheim:25;Alfheim Hard:25	200	15	185	29C0DE63AF60A8D523D11C5C076C7C2AC498AB1A4F22C0EE13D99D4629AEDCB6	03BD5949DB7740D0D30BE98AE2E508EFAE507E0883C7516A31648B296D9E163B	raw/period-421-division-62.html	raw/period-421-division-62.txt	raw/period-421-division-62.json	["Gatorsfan89","Fakku_FR","lefty","Derby_Daz","gopats37","Woofmaster521 (Kathy)","AndyP1970","Fry_Lock","sarahloo1971","Blutes87","Missi","Matt916","Chicagobry","nootnootthesnek","ANDOFGOD","HaphazardOak007","SHANNON_OLIVEOWL","Master_KP","Puffin","KIM","SHA_HOOF_NA","Trish","ARTSY","YODA","YUK1N"]
2026 June	421	COMPLETED	Semi Pro 2	114	6	8	Seagull Stacks:6;Seagull Stacks - Hard:6;Bogey's Bonanza:6;Bogey's Bonanza Hard:6;Journey to the Center of the Earth:6;Center of the Earth - Hard:6;Alfheim:6;Alfheim Hard:6	48	25	23	EDD3AF4E8B37D8D5103CD9A577C5FAF5C7F62B33C1A9F18402A9FA45051A38A5	C9FBB7AED07D5E0A338FE71125A74686AB4CBB5D9E932D2A12C7F7C36DBC9DCE	raw/period-421-division-114.html	raw/period-421-division-114.txt	raw/period-421-division-114.json	["ladytea","Heisenberg","Bethann","Earthling","DARLAVA","Maximus_PrimeIV"]
2026 June	421	COMPLETED	Semi Pro 3	115	0	0		0	0	0	B155822BBC346CA192F7596BC0264BB5D447E69040EC9975B004DB7F1159E81A	EA43BDDE7BAE4EB42C6A90BC387AEEE9BACEC525113CD0262C20A14EDB1DCA04	raw/period-421-division-115.html	raw/period-421-division-115.txt	raw/period-421-division-115.json	
2026 May	401	COMPLETED	Master	21	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	80	0	8EE0C5E6C8BD5B0970C421ABB9DE4C6390C2EB01D9373C85769A9ED67FE854D9	049269826525047245477D97E9FFAA9026DB78360E110BBF4A1B29157BD71EB8	raw/period-401-division-21.html	raw/period-401-division-21.txt	raw/period-401-division-21.json	["yankeedude1123","Zanetti","INDY","Chelle💯","Neo Impossible","El Jorge","POLANECE","PETERK9FLORIDA","Gobson","TrickyDicky"]
2026 May	401	COMPLETED	Elite	22	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	71	9	A2C7D86FFBD44535F73B80C19D5D67D4526AEAEA72382DCAD37EA162E20F6C73	9B1000DB2A2208CEA9C2632AFEBFBF6CFDD6C7FD18566DAB3F174D8AB80D8CBE	raw/period-401-division-22.html	raw/period-401-division-22.txt	raw/period-401-division-22.json	["mammothrept","Princess_Bankshot","Maximus","Spicy - DawnSophia","PaulV-PPP 🇨🇦","bigja33","ZoeDarlin","gomarino13","Mully","Blutes87"]
2026 May	401	COMPLETED	Pro 1	23	10	8	Quixote Valley:10;Quixote Valley Hard:10;Atlantis:10;Atlantis Hard:10;Raptor Cliff's:10;Raptor Cliff's - Hard:10;Tokyo:10;Tokyo - Hard:10	80	60	20	BA45AA24D6009ECD66F79478D0089FA4C7DF0815763B1198E33783924A277D36	84B45C1F7B6C9924942A647FF0D3B27603244A3BD75D707E0FB0B2DCD188A3EA	raw/period-401-division-23.html	raw/period-401-division-23.txt	raw/period-401-division-23.json	["mini_G","awesome_kris","roknhorsebrat","FORE_FUN","SerenityMoon","deebee","Slappy","stewiestewie","Matt916","lefty"]
2026 May	401	COMPLETED	Pro 2	24	9	8	Quixote Valley:9;Quixote Valley Hard:9;Atlantis:9;Atlantis Hard:9;Raptor Cliff's:9;Raptor Cliff's - Hard:9;Tokyo:9;Tokyo - Hard:9	72	56	16	068CEA2D1C4E315308A2CBA00CD9E422FC1231A85DEFDF9FF56D73A9858FBAF8	6A7357F849553EC2E48A74F71749D5E0AC742475716817F47B54398F48AD2D09	raw/period-401-division-24.html	raw/period-401-division-24.txt	raw/period-401-division-24.json	["plucky✌","Chipnputt","Alyssa38","DMD-Enditnow","SlugJug33","The Real JB","Raccoons Whisker","Master_KP","YODA"]
