season,division,game,player_a_exact,player_b_exact,source_range,player_a_cell,player_b_cell,evidence_state,source_url
1,7,1,,,A46:I46,A46,C46,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A46:C46
1,7,2,,,A46:I46,D46,F46,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D46:F46
1,7,3,,,A46:I46,G46,I46,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G46:I46
1,7,1,,,A47:I47,A47,C47,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A47:C47
1,7,2,,,A47:I47,D47,F47,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D47:F47
1,7,3,,,A47:I47,G47,I47,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G47:I47
1,8,1,,,A52:I52,A52,C52,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A52:C52
1,8,2,,,A52:I52,D52,F52,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D52:F52
1,8,3,,,A52:I52,G52,I52,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G52:I52
1,8,1,,,A53:I53,A53,C53,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A53:C53
1,8,2,,,A53:I53,D53,F53,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D53:F53
1,8,3,,,A53:I53,G53,I53,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G53:I53
1,8,1,1,2,A59:I59,A59,C59,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A59:C59
1,8,2,4,1,A59:I59,D59,F59,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D59:F59
1,8,3,1,3,A59:I59,G59,I59,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G59:I59
1,8,1,3,4,A60:I60,A60,C60,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A60:C60
1,8,2,2,3,A60:I60,D60,F60,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D60:F60
1,8,3,2,4,A60:I60,G60,I60,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G60:I60
1,8,1,1,2,A67:I67,A67,C67,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A67:C67
1,8,2,4,1,A67:I67,D67,F67,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D67:F67
1,8,3,1,3,A67:I67,G67,I67,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G67:I67
1,8,1,3,4,A68:I68,A68,C68,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=A68:C68
1,8,2,2,3,A68:I68,D68,F68,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=D68:F68
1,8,3,2,4,A68:I68,G68,I68,EXPLICIT VS PAIRING,https://docs.google.com/spreadsheets/d/1l-FgF1TiEp2oVGihLZlb2SHJTB6mioEcuB6hxGDGbzw/edit#gid=534490246&range=G68:I68

