period	period_id	division	division_source_value	source_player_name_exact	source_player_id	course_game_identifier	exact_score_text	parsed_numeric_score	played_state	missing_score_state	leader_placement	evidence_filename
2025 August	221	Master	21	Princess_Bankshot	4945	Alfheim	-19	-19	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Alfheim	-16	-16	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Alfheim			missing	true	9	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Alfheim			missing	true		period-221-division-21.html
2025 August	221	Master	21	YODA	105	Alfheim			missing	true	8	period-221-division-21.html
2025 August	221	Master	21	INDY	22	Alfheim Hard	-27	-27	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Alfheim Hard	-24	-24	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Alfheim Hard	-24	-24	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Alfheim Hard	-23	-23	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Alfheim Hard	-20	-20	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Alfheim Hard	-19	-19	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	YODA	105	Alfheim Hard	-17	-17	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Alfheim Hard	-17	-17	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Alfheim Hard			missing	true	9	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Alfheim Hard			missing	true		period-221-division-21.html
2025 August	221	Master	21	INDY	22	Ice Lair	-26	-26	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Ice Lair	-24	-24	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Ice Lair	-24	-24	scored	false	6	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Ice Lair	-23	-23	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Ice Lair	-20	-20	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Ice Lair	-17	-17	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Ice Lair	-17	-17	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	YODA	105	Ice Lair	-17	-17	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Ice Lair			missing	true	9	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Ice Lair			missing	true		period-221-division-21.html
2025 August	221	Master	21	El Jorge	24	Ice Lair - Hard	-20	-20	scored	false	3	period-221-division-21.html
2025 August	221	Master	21	POLANECE	7948	Ice Lair - Hard	-17	-17	scored	false	1	period-221-division-21.html
2025 August	221	Master	21	INDY	22	Ice Lair - Hard	-15	-15	scored	false	2	period-221-division-21.html
2025 August	221	Master	21	Mully	88	Ice Lair - Hard	-14	-14	scored	false	4	period-221-division-21.html
2025 August	221	Master	21	Gobson	4645	Ice Lair - Hard	-14	-14	scored	false	5	period-221-division-21.html
2025 August	221	Master	21	Derby_Daz	54	Ice Lair - Hard	-13	-13	scored	false	9	period-221-division-21.html
2025 August	221	Master	21	YODA	105	Ice Lair - Hard	-12	-12	scored	false	8	period-221-division-21.html
2025 August	221	Master	21	l7jazz	7908	Ice Lair - Hard	-7	-7	scored	false	7	period-221-division-21.html
2025 August	221	Master	21	DaisyShaw	7848	Ice Lair - Hard			missing	true		period-221-division-21.html
2025 August	221	Master	21	Princess_Bankshot	4945	Ice Lair - Hard			missing	true	6	period-221-division-21.html
2025 September	241	Master	21	Blutes87	41	Tourist Trap	-25	-25	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Tourist Trap	-25	-25	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Tourist Trap	-24	-24	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Tourist Trap	-24	-24	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Tourist Trap	-23	-23	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Tourist Trap	-23	-23	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Tourist Trap	-23	-23	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Tourist Trap	-22	-22	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Tourist Trap	-22	-22	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Tourist Trap	-9	-9	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Tourist Trap Hard	-25	-25	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Tourist Trap Hard	-23	-23	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Tourist Trap Hard	-22	-22	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Tourist Trap Hard	-21	-21	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Tourist Trap Hard	-19	-19	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Tourist Trap Hard	-19	-19	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Tourist Trap Hard	-19	-19	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Tourist Trap Hard	-18	-18	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Tourist Trap Hard	-18	-18	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Tourist Trap Hard	-8	-8	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Gardens of Babylon	-29	-29	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Gardens of Babylon	-29	-29	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Gardens of Babylon	-29	-29	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Gardens of Babylon	-28	-28	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Gardens of Babylon	-27	-27	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Gardens of Babylon	-25	-25	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Gardens of Babylon	-23	-23	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Gardens of Babylon	-22	-22	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Gardens of Babylon	-20	-20	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Gardens of Babylon	-19	-19	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Gardens of Babylon Hard	-25	-25	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Gardens of Babylon Hard	-23	-23	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Gardens of Babylon Hard	-23	-23	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Gardens of Babylon Hard	-22	-22	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Gardens of Babylon Hard	-22	-22	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Gardens of Babylon Hard	-21	-21	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Gardens of Babylon Hard	-19	-19	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Gardens of Babylon Hard	-17	-17	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Gardens of Babylon Hard	-15	-15	scored	false	10	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Gardens of Babylon Hard	-14	-14	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Holiday Hideaway	-22	-22	scored	false	3	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Holiday Hideaway	-21	-21	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Holiday Hideaway	-21	-21	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Holiday Hideaway	-21	-21	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Holiday Hideaway	-21	-21	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Holiday Hideaway	-21	-21	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Holiday Hideaway	-18	-18	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Holiday Hideaway	-18	-18	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Holiday Hideaway	-18	-18	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	l7jazz	7908	Holiday Hideaway			missing	true	10	period-241-division-21.html
2025 September	241	Master	21	INDY	22	Holiday Hideaway - Hard	-20	-20	scored	false	2	period-241-division-21.html
2025 September	241	Master	21	Mully	88	Holiday Hideaway - Hard	-19	-19	scored	false	7	period-241-division-21.html
2025 September	241	Master	21	Blutes87	41	Holiday Hideaway - Hard	-17	-17	scored	false	1	period-241-division-21.html
2025 September	241	Master	21	El Jorge	24	Holiday Hideaway - Hard	-16	-16	scored	false	5	period-241-division-21.html
2025 September	241	Master	21	POLANECE	7948	Holiday Hideaway - Hard	-15	-15	scored	false	4	period-241-division-21.html
2025 September	241	Master	21	Neo Impossible	1205	Holiday Hideaway - Hard	-13	-13	scored	false	6	period-241-division-21.html
2025 September	241	Master	21	steven2018	8229	Holiday Hideaway - Hard	-12	-12	scored	false	8	period-241-division-21.html
2025 September	241	Master	21	Princess_Bankshot	4945	Holiday Hideaway - Hard	-8	-8	scored	false	9	period-241-division-21.html
2025 September	241	Master	21	Gobson	4645	Holiday Hideaway - Hard	-7	-7	scored	false	3	period-241-division-21.html
